20
365 	368 	393 	396 	1 	4 	29 	32 	57 	60 	265 	268 	293 	296 	201 	204 	229 	232 	157 	160
366 	367 	394 	395 	2 	3 	30 	31 	58 	59 	266 	267 	294 	295 	202 	203 	230 	231 	158 	159
392 	389 	320 	317 	28 	25 	56 	53 	64 	61 	292 	289 	220 	217 	228 	225 	256 	253 	164 	161
391 	390 	319 	318 	27 	26 	55 	54 	63 	62 	291 	290 	219 	218 	227 	226 	255 	254 	163 	162
13 	16 	321 	324 	349 	352 	77 	80 	85 	88 	213 	216 	221 	224 	249 	252 	277 	280 	185 	188
14 	15 	322 	323 	350 	351 	78 	79 	86 	87 	214 	215 	222 	223 	250 	251 	278 	279 	186 	187
340 	337 	348 	345 	76 	73 	84 	81 	12 	9 	240 	237 	248 	245 	276 	273 	284 	281 	112 	109
339 	338 	347 	346 	75 	74 	83 	82 	11 	10 	239 	238 	247 	246 	275 	274 	283 	282 	111 	110
341 	344 	369 	372 	97 	100 	5 	8 	33 	36 	241 	244 	269 	272 	297 	300 	205 	208 	133 	136
342 	343 	370 	371 	98 	99 	6 	7 	34 	35 	242 	243 	270 	271 	298 	299 	206 	207 	134 	135
68 	65 	96 	93 	304 	301 	332 	329 	360 	357 	168 	165 	196 	193 	104 	101 	132 	129 	260 	257
67 	66 	95 	94 	303 	302 	331 	330 	359 	358 	167 	166 	195 	194 	103 	102 	131 	130 	259 	258
89 	92 	17 	20 	325 	328 	353 	356 	361 	364 	189 	192 	117 	120 	125 	128 	153 	156 	261 	264
90 	91 	18 	19 	326 	327 	354 	355 	362 	363 	190 	191 	118 	119 	126 	127 	154 	155 	262 	263
316 	313 	24 	21 	52 	49 	380 	377 	388 	385 	116 	113 	124 	121 	152 	149 	180 	177 	288 	285
315 	314 	23 	22 	51 	50 	379 	378 	387 	386 	115 	114 	123 	122 	151 	150 	179 	178 	287 	286
37 	40 	45 	48 	373 	376 	381 	384 	309 	312 	137 	140 	145 	148 	173 	176 	181 	184 	209 	212
38 	39 	46 	47 	374 	375 	382 	383 	310 	311 	138 	139 	146 	147 	174 	175 	182 	183 	210 	211
44 	41 	72 	69 	400 	397 	308 	305 	336 	333 	144 	141 	172 	169 	200 	197 	108 	105 	236 	233
43 	42 	71 	70 	399 	398 	307 	306 	335 	334 	143 	142 	171 	170 	199 	198 	107 	106 	235 	234
